Artist,Album,Listed,Spotify URL,Spotify Streamable,Rdio URL,Rdio Streamable
Moon Wiring Club,A Spare Tabby At The Catâs Wedding,1,,False,,False
Jane Weaver,Cherlokalate,1,spotify:album:6baxTXjOOMmBjdbM55iSKb,True,http://rdio.com/artist/Jane_Weaver/album/Cherlokalate_1/,True
Cage the Elephant,Cage the Elephant,1,,False,,False
wooden wand,Born Bad,1,,False,,False
GOJIRA,The Way Of All Flesh,1,,False,,False
Jukebox the Ghost,Everything Under the Sun,1,,False,http://rdio.com/artist/Jukebox_The_Ghost/album/Everything_Under_the_Sun/,True
Smoke Or Fire,Speakeasy,1,,False,,False
Booka Shade,More!,1,spotify:album:4fWa6KMutXC7vCRDVgKT5w,False,,False
Son Volt,American Central Dust,1,spotify:album:3sJyeWWnn9AgoIjaqxQC9V,True,http://rdio.com/artist/Son_Volt/album/American_Central_Dust/,True
Bronze Horse,Bronze Horse,1,,False,,False
Paper Tongues,Paper Tongues,1,spotify:album:4QeXfM6sWDbOsBBLrEICnL,True,http://rdio.com/artist/Paper_Tongues/album/Paper_Tongues/,True
MAX RICHTER,24 Postcards In Full Colour,1,,False,http://rdio.com/artist/Max_Richter/album/24_Postcards_In_Full_Colour/,True
Om,God Is Good,1,,False,http://rdio.com/artist/Gaither_Vocal_Band/album/God_Is_Good/,True
Protest the Hero,Fortress,1,,False,http://rdio.com/artist/Protest_The_Hero/album/Fortress_1/,True
The Rolling Stones,Sticky Fingers,1,spotify:album:29m6DinzdaD0OPqWKGyMdz,True,http://rdio.com/artist/The_Rolling_Stones/album/Sticky_Fingers_1/,False
Mike Watt,Hyphenated-Man,1,,False,,False
Flower-Corsano Duo,The Radiant Mirror,1,,False,,False
Soulsavers,"Itâs Not How Far You Fall, Itâs The Way You Land",1,,False,,False
Race Horses,Goodbye Falkenburg,1,,False,,False
Various,Riddim Box: Excursions in the UK Funky Underground,1,,False,,False
Holly Miranda,Magician's Private Library,1,,False,,False
MAYLENE AND THE SONS OF DISASTER,III,1,,False,http://rdio.com/artist/Maylene_And_The_Sons_Of_Disaster/album/III/,True
She Wants Revenge,She Wants Revenge,1,spotify:album:0sodzasYv4ME948OFsgWTV,True,http://rdio.com/artist/She_Wants_Revenge/album/She_Wants_Revenge/,True
Harmonic 313,When Machines Exceed Human Intelligence,1,,False,http://rdio.com/artist/Harmonic_313/album/When_Machines_Exceed_Human_Intelligence/,True
My Brightest Diamond,A Thousand Shark's Teeth,1,,False,,False
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1,spotify:album:6sPaeMfg4Ct5FTmxLHS2pS,True,http://rdio.com/artist/Arctic_Monkeys/album/Whatever_People_Say_I_Am%2C_That%27s_What_I%27m_Not/,True
The Hex Dispensers,Winchester Mystery House,1,,False,,False
The Gourds,Haymaker!,1,spotify:album:4BLJECFmvb77Haz0dyNiln,True,http://rdio.com/artist/The_Gourds/album/Haymaker!/,True
Smashing Pumpkins,Zeitgeist,1,spotify:album:5NXlHr8Xna6pxBgiTtxoAm,True,http://rdio.com/artist/Smashing_Pumpkins/album/Zeitgeist/,True
Zoos of Berlin,Taxis,1,,False,,False
AEROPLANE,We Can't Fly,1,,False,http://rdio.com/artist/Aeroplane/album/We_Can%27t_Fly_1/,True
Bergraven,DÃ¶dsvisioner,1,,False,,False
Joe Colley,Disasters of self,1,,False,,False
Woodsman,Mystery Tape,1,spotify:album:1jYOEF4j3t7xaVWiNnnk5I,True,http://rdio.com/artist/Woodsman/album/Mystery_Tape/,True
Life On Earth!,Look!! There Isâ¦,1,,False,,False
The Alps,Something I Might Regret,1,spotify:album:5HF73qHpL6g2bR7EN0KqDj,False,,False
AC/DC,Back In Black,1,spotify:album:19QZHLQTSVlL8jPbPxb709,False,http://rdio.com/artist/AC/DC/album/Back_In_Black/,False
PETER BRODERICK,Float,1,,False,,False
Big Blue Ball,Big Blue Ball,1,spotify:album:6B7ZbFeVrepf17qoSlPtkm,False,http://rdio.com/artist/Various_Artists/album/Big_Blue_Ball/,True
Band of Horses,Cease to Begin,1,,False,http://rdio.com/artist/Band_Of_Horses/album/Cease_to_Begin/,True
Zaz,Zaz,1,spotify:album:1gLxjhQFESFTAOCRUBgXc6,True,http://rdio.com/artist/ZAZ/album/Zaz/,True
Dawn of Ashes,Genocide Chapters,1,,False,http://rdio.com/artist/Dawn_Of_Ashes/album/Genocide_Chapters/,False
HOPE SANDOVAL AND THE WARM INVENTIONS,Through The Devil Softly,1,,False,http://rdio.com/artist/Hope_Sandoval__The_Warm_Inventions/album/Through_The_Devil_Softly/,True
Black Moth Super Rainbow,Eating Us,1,spotify:album:17BN4enFHzX48ff4gDBjni,True,http://rdio.com/artist/Black_Moth_Super_Rainbow/album/Eating_Us_1/,True
Madness,The Liberty of Nolton Folgate,1,,False,,False
Maria Schneider,Sky Blue,1,,False,,False
East of the Wall,Farmer's Almanac,1,,False,,False
City Center,City Center,1,spotify:album:2Gy1Ol31nFQpsKWiISyefB,True,http://rdio.com/artist/City_Center/album/City_Center/,True
Real Estate,Out of Tune,1,,False,,False
The Beatles,Rubber Soul,1,,False,,False
Phosphorescent,Pride,1,spotify:album:6UAMMkv37rcmJ8eGaceZ9M,True,http://rdio.com/artist/Phosphorescent/album/Pride/,True
The Knife,Silent Shout,1,spotify:album:1a5yPYMP6HEYHdEOd2Trnw,True,http://rdio.com/artist/The_Knife/album/Silent_Shout_4/,True
Tom Petty & the Heartbreakers,Mojo,1,,False,http://rdio.com/artist/Tom_Petty_and_the_Heartbreakers/album/Mojo/,True
